distance_km,hour_of_day,is_weekend,traffic_factor,duration_minutes
12.921,16,0,2.264,71.85
16.864,20,1,2.801,114.11
7.289,10,1,0.991,15.7
10.947,4,1,1.661,40.58
4.133,5,0,1.818,17.43
8.216,4,0,1.428,30.67
12.753,9,1,2.765,85.65
8.48,17,0,1.598,31.19
5.617,20,0,1.596,21.38
7.68,7,0,1.392,26.85
9.354,8,1,2.268,51.7
12.147,21,1,1.81,54.69
6.481,3,1,1.697,27.12
7.353,7,1,1.461,28.33
10.15,19,0,1.598,41.62
20.0,15,1,2.15,102.63
7.871,8,0,3.209,59.42
7.386,3,1,1.883,32.13
20.0,17,1,0.915,45.96
5.286,3,1,2.215,29.49
10.723,19,1,2.781,70.91
18.308,12,0,1.721,76.49
15.173,8,1,1.184,43.14
15.653,8,0,1.047,40.86
9.121,14,0,1.195,27.03
16.859,12,0,1.72,68.34
5.209,16,1,1.213,13.09
10.518,19,1,1.271,32.1
1.574,22,1,2.095,5.68
8.873,2,1,1.811,40.68
13.126,13,1,2.111,67.48
17.231,5,0,2.251,93.71
6.057,12,1,0.793,11.85
11.297,16,1,1.413,40.65
1.169,7,1,1.197,2.28
18.995,23,0,1.29,58.67
10.397,6,0,0.915,25.04
13.945,23,0,1.06,37.11
20.0,8,0,2.147,104.24
15.749,19,1,2.077,77.6
3.523,7,0,1.888,15.98
15.697,21,1,1.562,58.28
7.453,16,1,1.923,31.87
11.938,15,0,2.168,60.79
6.885,19,1,1.697,27.94
6.061,4,1,2.044,30.04
9.278,7,0,0.828,18.66
8.137,14,0,1.507,31.02
18.814,9,1,1.042,45.59
1.965,16,1,0.782,4.01
20.0,9,0,1.064,53.09
11.203,11,0,1.562,43.47
5.6,11,0,2.162,26.39
7.088,17,0,2.498,40.89
4.485,23,1,0.94,10.2
9.914,0,0,1.131,25.91
7.714,17,1,2.235,42.51
19.272,7,1,2.12,102.53
1.144,10,1,2.628,8.33
12.296,21,1,1.526,44.71
3.449,19,0,1.54,14.45
5.667,12,0,2.419,33.13
14.62,7,0,2.297,80.63
10.872,12,1,1.587,44.66
15.554,21,0,2.117,79.5
10.667,10,1,1.171,29.75
5.903,18,0,1.936,28.15
10.526,12,0,0.971,23.53
6.22,2,0,2.486,38.05
7.798,22,1,1.739,32.56
5.104,18,0,3.224,37.4
16.68,3,1,1.628,63.33
6.737,2,1,1.647,26.5
11.757,1,1,2.024,59.26
7.312,16,1,1.169,20.1
4.207,10,0,1.572,14.41
8.588,3,0,0.983,19.45
14.162,22,1,1.386,47.38
18.324,18,1,2.801,123.58
3.926,1,1,1.316,14.05
7.125,10,1,1.2,18.71
12.018,22,0,0.813,26.9
12.247,10,0,1.133,34.44
6.79,1,0,1.874,31.92
17.291,15,0,1.159,47.0
8.79,18,0,2.001,44.13
11.119,17,1,1.544,41.23
9.961,15,1,2.141,50.74
16.238,18,0,2.033,78.55
19.258,8,0,2.213,104.35
14.147,13,0,2.43,82.88
8.887,23,1,1.896,39.31
1.988,17,1,1.913,11.23
4.902,0,1,0.842,7.21
20.0,23,1,0.979,46.67
12.68,9,1,2.921,90.0
16.625,3,0,2.421,98.96
16.106,10,0,2.146,83.99
7.289,19,1,2.498,43.3
13.614,0,0,2.487,81.76
10.491,6,1,2.236,56.37
10.814,16,1,1.045,25.72
13.15,2,0,2.219,72.41
5.513,1,0,1.57,19.71
20.0,20,1,1.762,86.67
9.948,17,0,1.808,39.78
4.417,3,0,2.136,21.92
12.711,9,0,2.578,77.78
12.251,2,1,0.835,24.1
8.586,4,0,1.416,30.37
13.298,5,0,1.79,57.54
10.298,2,1,2.107,52.3
17.168,9,1,1.121,44.95
18.051,15,0,1.598,71.35
2.356,17,0,0.939,6.38
16.645,6,0,1.088,45.35
10.253,0,1,1.602,39.06
7.461,12,0,2.203,36.58
16.07,18,1,1.472,54.42
5.44,3,1,1.624,19.1
4.483,18,0,3.177,34.21
5.372,12,0,2.441,33.84
6.379,3,0,1.503,22.12
5.48,13,1,1.729,24.11
11.286,6,1,1.26,36.17
6.461,8,0,1.998,28.81
15.027,16,1,1.032,38.16
12.25,16,0,1.797,53.62
2.417,8,1,2.852,16.33
12.566,12,0,2.477,76.41
11.634,11,1,1.776,49.28
17.678,3,0,2.328,100.94
20.0,19,0,2.427,116.61
7.437,18,1,0.939,16.74
13.051,8,1,2.102,64.3
13.906,19,0,3.007,98.75
2.059,17,1,1.475,5.54
5.223,1,0,1.594,20.79
10.794,17,1,1.819,47.32
13.402,3,1,1.704,55.83
17.719,19,0,1.247,53.01
14.411,8,0,2.493,88.24
16.15,6,1,2.078,81.97
5.617,11,1,1.571,22.22
18.447,21,1,1.015,45.4
17.396,9,1,1.058,43.18
9.528,23,0,1.423,32.65
8.493,5,1,1.298,23.93
15.78,13,0,0.944,36.08
8.217,22,1,2.076,41.43
11.841,14,1,0.983,28.79
14.084,0,0,1.49,48.97
13.943,3,0,2.331,78.31
18.729,18,0,1.157,54.3
18.532,1,0,1.211,52.55
5.167,5,0,1.527,18.5
1.095,20,0,2.185,5.33
4.404,5,1,2.239,23.26
7.254,21,0,2.267,39.36
16.64,22,0,1.617,63.97
4.524,1,0,2.023,23.26
10.54,9,1,1.253,31.6
8.122,9,1,1.975,38.59
6.593,12,1,0.782,11.52
3.687,8,0,1.875,16.17
12.92,3,0,1.502,46.09
5.109,1,1,1.194,15.59
15.435,13,0,1.209,46.5
5.964,0,0,1.014,17.02
16.393,17,0,1.245,49.98
8.334,15,1,2.067,41.35
4.424,7,0,1.944,21.63
13.52,16,1,1.344,44.21
1.157,16,1,1.047,3.85
5.388,12,1,2.167,27.42
17.541,5,1,1.927,80.47
5.314,6,0,1.937,23.44
6.489,16,0,2.112,33.14
4.668,5,1,1.227,15.4
3.225,21,0,2.488,18.97
15.037,11,0,2.208,79.64
11.906,3,0,0.961,28.76
5.768,17,0,1.831,25.98
10.057,10,0,1.127,29.1
7.397,19,1,2.444,42.7
1.58,16,0,0.818,4.42
20.0,3,1,1.911,92.34
13.253,15,1,1.124,36.25
6.161,13,0,2.3,33.37
8.086,19,0,2.827,53.5
12.265,9,0,1.551,44.31
20.0,23,0,2.401,114.98
11.903,10,1,1.768,53.43
11.097,13,0,2.21,60.78
8.576,12,1,1.386,28.65
18.05,0,0,2.405,103.72
5.973,12,0,2.191,31.52
6.304,5,0,1.232,17.16
9.93,13,0,1.625,39.64
2.074,8,1,2.427,10.79
19.592,16,1,1.914,89.38
8.003,13,0,1.16,23.21
15.304,11,1,1.777,68.05
18.196,9,1,2.078,91.06
13.972,5,1,1.877,62.37
7.719,21,1,1.99,34.85
2.835,14,0,2.312,15.2
13.294,10,0,1.691,55.72
4.877,6,0,2.314,29.31
10.811,13,1,1.583,42.87
7.551,17,1,0.957,16.29
14.872,6,1,1.579,55.09
8.836,21,1,1.715,37.82
15.091,9,0,3.023,108.4
20.0,22,1,1.242,56.85
4.994,13,1,0.863,9.46
4.714,6,0,1.755,20.1
2.044,10,1,2.886,13.52
12.421,17,0,1.209,36.41
15.63,5,1,1.871,68.95
11.482,12,0,2.497,71.93
6.807,19,1,2.574,44.85
7.342,1,1,0.843,14.45
7.72,20,0,2.967,54.54
13.592,11,0,1.884,61.05
10.615,14,0,2.034,54.99
15.061,0,0,2.068,72.65
10.44,22,0,2.107,52.91
6.374,2,0,1.137,16.78
5.009,6,1,2.121,25.68
11.695,6,0,1.953,55.59
11.876,21,1,0.923,26.72
9.444,6,1,0.834,18.28
20.0,10,0,1.351,63.77
15.191,8,1,2.915,106.36
4.9,4,1,1.854,22.81
12.591,5,0,2.293,70.86
16.281,13,0,1.773,68.06
10.266,14,0,2.088,52.19
16.609,17,1,1.345,52.8
4.082,15,1,1.336,13.77
12.025,12,0,2.262,64.95
14.541,21,0,1.107,37.7
13.254,0,1,1.545,48.17
9.937,23,0,1.689,40.39
18.631,19,0,2.272,100.67
6.748,17,1,1.919,33.58
16.271,19,0,2.504,95.04
5.674,16,1,1.712,22.7
12.447,2,1,1.251,39.31
8.863,1,1,0.86,19.27
2.32,21,0,0.845,4.2
13.929,2,1,1.477,47.93
17.176,22,0,2.223,91.34
9.456,1,1,1.763,42.16
7.227,0,1,1.876,32.55
